Sample-#, CA-V, CA-I, CB-V, CB-I 
305, 0.749980926514, 0.000577458587941, 0.255359739065, 0.00124885560945
306, 0.751811981201, 0.000478274974739, 0.255664914846, 0.00118781952187
307, 0.755626738071, 0.000524052011315, 0.255970090628, 0.00122596707661
308, 0.757381558418, 0.000493533967528, 0.256275266409, 0.00121833756566
309, 0.759365200996, 0.000539311033208, 0.2564278543, 0.00118019001093
310, 0.762188136578, 0.00060034712078, 0.2564278543, 0.00129463267513
311, 0.764782190323, 0.000592717609834, 0.256809324026, 0.00118781952187
312, 0.76661324501, 0.000539311033208, 0.256961941719, 0.00124885560945
313, 0.769741356373, 0.000638494675513, 0.25711452961, 0.0013556687627
314, 0.772030234337, 0.000585088098887, 0.257724881172, 0.00129463267513
315, 0.774395346642, 0.000554570055101, 0.257877469063, 0.00114204245619
316, 0.776989400387, 0.000585088098887, 0.258182644844, 0.00134803925175
317, 0.778210103512, 0.000607976631727, 0.258335232735, 0.00125648512039
318, 0.782177448273, 0.000516422500368, 0.258640408516, 0.00120307854377
319, 0.784771502018, 0.000607976631727, 0.259021908045, 0.00128700316418
320, 0.78652626276, 0.000699530763086, 0.25909820199, 0.00125648512039
321, 0.789120316505, 0.00060034712078, 0.259021908045, 0.00126411463134
322, 0.790646195412, 0.000638494675513, 0.259403377771, 0.00132515071891
323, 0.794232070446, 0.000585088098887, 0.259555965662, 0.00113441294525
324, 0.796673536301, 0.000569829076994, 0.259784847498, 0.00122596707661
325, 0.798809766769, 0.000493533967528, 0.260166317225, 0.00127174414229
326, 0.801327526569, 0.000653753697407, 0.260852992535, 0.00134040974081
327, 0.803234934807, 0.000653753697407, 0.260700374842, 0.00115730147809
328, 0.806057810783, 0.000684271741193, 0.261081874371, 0.00127937365323
329, 0.808346688747, 0.000684271741193, 0.261463344097, 0.00133278022986
330, 0.811093330383, 0.000493533967528, 0.261768519878, 0.00130226218607
331, 0.812924385071, 0.000691901252139, 0.261768519878, 0.00111915392336
332, 0.816662847996, 0.000699530763086, 0.261921107769, 0.00127174414229
333, 0.818417668343, 0.000615606142674, 0.26207369566, 0.00120307854377
334, 0.820401310921, 0.000546940544154, 0.26222628355, 0.00126411463134
335, 0.823300540447, 0.000516422500368, 0.262607753277, 0.00129463267513
336, 0.825131595135, 0.000607976631727, 0.262989252806, 0.00126411463134
337, 0.82902264595, 0.000607976631727, 0.263065546751, 0.00133278022986
338, 0.830624878407, 0.000569829076994, 0.263370722532, 0.00116493098903
339, 0.832532227039, 0.00062323565362, 0.263447016478, 0.00127174414229
340, 0.835507750511, 0.000516422500368, 0.263752192259, 0.00131752120797
341, 0.837872862816, 0.000546940544154, 0.26405736804, 0.00121833756566
342, 0.840619504452, 0.000630865164567, 0.263828486204, 0.0012412260985
343, 0.842221736908, 0.000653753697407, 0.264133661985, 0.0011267834343
344, 0.845578670502, 0.000569829076994, 0.264286249876, 0.00125648512039
345, 0.847714960575, 0.000630865164567, 0.264209955931, 0.00123359658755
346, 0.85015642643, 0.000684271741193, 0.26405736804, 0.00118781952187
347, 0.851758599281, 0.000447756930953, 0.264362543821, 0.00117256049998
348, 0.85511559248, 0.000554570055101, 0.264438837767, 0.00127174414229
349, 0.858014822006, 0.000592717609834, 0.264438837767, 0.00131752120797
350, 0.859693288803, 0.000577458587941, 0.264591425657, 0.00129463267513
351, 0.862134754658, 0.000638494675513, 0.264896631241, 0.00126411463134
352, 0.863736927509, 0.00060034712078, 0.265125513077, 0.0012412260985
353, 0.867475390434, 0.000707160274033, 0.265201807022, 0.00127174414229
354, 0.869840562344, 0.000554570055101, 0.265354394913, 0.00130989169702
355, 0.872205674648, 0.000638494675513, 0.265583276749, 0.00114204245619
356, 0.874494552612, 0.000577458587941, 0.265430688858, 0.0012412260985
357, 0.876783370972, 0.000531681522261, 0.265812158585, 0.00126411463134
358, 0.879682600498, 0.000607976631727, 0.265735864639, 0.00121070805471
359, 0.881590008736, 0.000531681522261, 0.265659570694, 0.00121070805471
360, 0.884336590767, 0.000676642230246, 0.265583276749, 0.00130226218607
361, 0.88632029295, 0.00060034712078, 0.26588845253, 0.00127937365323
362, 0.889906167984, 0.000539311033208, 0.266117334366, 0.00115730147809
363, 0.891584634781, 0.000463015952846, 0.266193628311, 0.00128700316418
364, 0.893492043018, 0.000630865164567, 0.266269922256, 0.00127937365323
365, 0.89639121294, 0.000691901252139, 0.266193628311, 0.00126411463134
366, 0.898603796959, 0.000607976631727, 0.266269922256, 0.00123359658755
367, 0.902189671993, 0.000531681522261, 0.266498804092, 0.00130226218607
368, 0.903639256954, 0.000661383208353, 0.266575098038, 0.00119544903282
369, 0.905622959137, 0.000569829076994, 0.266804009676, 0.00121833756566
370, 0.908522188663, 0.00060034712078, 0.266498804092, 0.00121070805471
371, 0.910887300968, 0.000554570055101, 0.266727715731, 0.00121070805471
372, 0.913939118385, 0.000516422500368, 0.266956597567, 0.00127937365323
373, 0.916151702404, 0.000569829076994, 0.267261773348, 0.00120307854377
374, 0.918211638927, 0.000630865164567, 0.267261773348, 0.00125648512039
375, 0.920958280563, 0.00064612418646, 0.267490655184, 0.00124885560945
376, 0.923399686813, 0.000607976631727, 0.267566949129, 0.00132515071891
377, 0.925078213215, 0.00064612418646, 0.267795830965, 0.00124885560945
378, 0.928511500359, 0.000562199566048, 0.26771953702, 0.00111915392336
379, 0.931105494499, 0.000470645463793, 0.267948418856, 0.00128700316418
380, 0.933165490627, 0.0006690127193, 0.268329888582, 0.00129463267513
381, 0.935378015041, 0.000554570055101, 0.268329888582, 0.00127937365323
382, 0.936598777771, 0.000577458587941, 0.268177300692, 0.00126411463134
