Freq.	V(vout)
3.16227766016835e+004	-2.53251638131912e-005 -3.82388348350514e-007
3.23593656929625e+004	-2.41855642312068e-005 -3.56868418125698e-007
3.31131121482588e+004	-2.30972356764657e-005 -3.33051523868293e-007
3.38844156139199e+004	-2.20578722794680e-005 -3.10824028916899e-007
3.46736850452528e+004	-2.10652718018044e-005 -2.90079877708352e-007
3.54813389233572e+004	-2.01173309851916e-005 -2.70720090169943e-007
3.63078054770098e+004	-1.92120411086757e-005 -2.52652289815515e-007
3.71535229097169e+004	-1.83474837447355e-005 -2.35790263300571e-007
3.80189396320557e+004	-1.75218267054256e-005 -2.20053549340818e-007
3.89045144994277e+004	-1.67333201700940e-005 -2.05367055038000e-007
3.98107170553493e+004	-1.59802929865761e-005 -1.91660697787045e-007
4.07380277804108e+004	-1.52611491381305e-005 -1.78869071060019e-007
4.16869383470331e+004	-1.45743643687201e-005 -1.66931132475897e-007
4.26579518801588e+004	-1.39184829595710e-005 -1.55789912670988e-007
4.36515832240161e+004	-1.32921146502541e-005 -1.45392243583795e-007
4.46683592150958e+004	-1.26939316978339e-005 -1.35688504860322e-007
4.57088189614870e+004	-1.21226660679143e-005 -1.26632387172063e-007
4.67735141287193e+004	-1.15771067516871e-005 -1.18180671319287e-007
4.78630092322633e+004	-1.10560972033476e-005 -1.10293022067364e-007
4.89778819368441e+004	-1.05585328924951e-005 -1.02931795733939e-007
5.01187233627267e+004	-1.00833589663730e-005 -9.60618606101901e-008
5.12861383991359e+004	-9.62956801703426e-006 -8.96504293605097e-008
5.24807460249767e+004	-9.19619794873351e-006 -8.36669026019133e-008
5.37031796370247e+004	-8.78232994106056e-006 -7.80827229177417e-008
5.49540873857619e+004	-8.38708650352596e-006 -7.28712386098684e-008
5.62341325190343e+004	-8.00962961750270e-006 -6.80075765400031e-008
5.75439937337151e+004	-7.64915896161014e-006 -6.34685234539624e-008
5.88843655355583e+004	-7.30491021680073e-006 -5.92324152231761e-008
6.02559586074351e+004	-6.97615344757715e-006 -5.52790334754066e-008
6.16595001861475e+004	-6.66219155592685e-006 -5.15895091218585e-008
6.30957344480186e+004	-6.36235880471358e-006 -4.81462323207061e-008
6.45654229034648e+004	-6.07601940741093e-006 -4.49327684477341e-008
6.60693448007589e+004	-5.80256618120228e-006 -4.19337796734049e-008
6.76082975391974e+004	-5.54141926060451e-006 -3.91349517723863e-008
6.91830970918929e+004	-5.29202486890000e-006 -3.65229258165039e-008
7.07945784384130e+004	-5.05385414478281e-006 -3.40852344253590e-008
7.24435960074982e+004	-4.82640202174111e-006 -3.18102422705730e-008
7.41310241300909e+004	-4.60918615780884e-006 -2.96870905498989e-008
7.58577575029175e+004	-4.40174591342535e-006 -2.77056451663575e-008
7.76247116628683e+004	-4.20364137524338e-006 -2.58564483652246e-008
7.94328234724272e+004	-4.01445242382206e-006 -2.41306735981773e-008
8.12830516164090e+004	-3.83377784323437e-006 -2.25200833992936e-008
8.31763771102661e+004	-3.66123447070667e-006 -2.10169900719621e-008
8.51138038202367e+004	-3.49645638449216e-006 -1.96142189991594e-008
8.70963589956071e+004	-3.33909412826104e-006 -1.83050744020631e-008
8.91250938133735e+004	-3.18881397036670e-006 -1.70833073836444e-008
9.12010839355899e+004	-3.04529719642132e-006 -1.59430861047807e-008
9.33254300796980e+004	-2.90823943368409e-006 -1.48789679505975e-008
9.54992586021425e+004	-2.77735000583274e-006 -1.38858735542441e-008
9.77237220955799e+004	-2.65235131675284e-006 -1.29590625541632e-008
1.00000000000000e+005	-2.53297826204105e-006 -1.20941109691855e-008
