Freq.	V(vout)
4.26579518801588e+003	1.39006831530237e-003 -3.72576975319350e-002
4.36515832240161e+003	1.32758799356936e-003 -3.64118868460382e-002
4.46683592150958e+003	1.26791245057009e-003 -3.55851773718746e-002
4.57088189614870e+003	1.21091609150315e-003 -3.47771444158731e-002
4.67735141287193e+003	1.15647891801400e-003 -3.39873722803955e-002
4.78630092322633e+003	1.10448628124293e-003 -3.32154541034362e-002
4.89778819368441e+003	1.05482864555656e-003 -3.24609916990389e-002
5.01187233627267e+003	1.00740136251957e-003 -3.17235953986045e-002
5.12861383991359e+003	9.62104454680131e-004 -3.10028838932512e-002
5.24807460249767e+003	9.18842408758702e-004 -3.02984840773688e-002
5.37031796370247e+003	8.77523977845625e-004 -2.96100308934984e-002
5.49540873857618e+003	8.38061992228185e-004 -2.89371671786539e-002
5.62341325190343e+003	8.00373178482610e-004 -2.82795435121887e-002
5.75439937337150e+003	7.64377986480822e-004 -2.76368180653020e-002
5.88843655355582e+003	7.30000423975590e-004 -2.70086564522670e-002
6.02559586074351e+003	6.97167898441176e-004 -2.63947315834535e-002
6.16595001861475e+003	6.65811065859474e-004 -2.57947235202096e-002
6.30957344480186e+003	6.35863686154185e-004 -2.52083193316575e-002
6.45654229034648e+003	6.07262484987611e-004 -2.46352129534522e-002
6.60693448007588e+003	5.79947021646306e-004 -2.40751050485432e-002
6.76082975391974e+003	5.53859562753046e-004 -2.35277028699742e-002
6.91830970918928e+003	5.28944961553372e-004 -2.29927201257489e-002
7.07945784384129e+003	5.05150542535399e-004 -2.24698768457857e-002
7.24435960074981e+003	4.82425991151585e-004 -2.19588992509790e-002
7.41310241300908e+003	4.60723248420813e-004 -2.14595196243806e-002
7.58577575029174e+003	4.39996410198418e-004 -2.09714761845091e-002
7.76247116628682e+003	4.20201630910698e-004 -2.04945129607922e-002
7.94328234724272e+003	4.01297031559040e-004 -2.00283796711442e-002
8.12830516164089e+003	3.83242611807032e-004 -1.95728316016750e-002
8.31763771102661e+003	3.66000165971821e-004 -1.91276294885260e-002
8.51138038202366e+003	3.49533202748629e-004 -1.86925394018257e-002
8.70963589956070e+003	3.33806868504578e-004 -1.82673326317533e-002
8.91250938133734e+003	3.18787873985040e-004 -1.78517855766990e-002
9.12010839355898e+003	3.04444424282383e-004 -1.74456796335054e-002
9.33254300796979e+003	2.90746151923514e-004 -1.70488010897733e-002
9.54992586021424e+003	2.77664052938718e-004 -1.66609410182145e-002
